size	colour	x	y	clickSelects	fill
2.80498447189992	#00C094	0.429652387259266	0.751677819829341	United Arab Emirates	#00C094
3.60996894379985	#A58AFF	0.817432746379486	0.287131971189044	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.302744425385935	0.743916773706297	Albania	#C49A00
2.80498447189992	#C49A00	0.2288142953297	0.683333337767059	Armenia	#C49A00
3.60996894379985	#FB61D7	0.731126647415159	0.268622054801376	Angola	#FB61D7
4.78854800926934	#53B400	0.277775365308205	0.741624031014086	Argentina	#53B400
3.39427400463467	#C49A00	0.110699785048961	0.804443584639544	Austria	#C49A00
3.9718012070186	#F8766D	0.159769416158239	0.827264602154419	Australia	#F8766D
2	#53B400	0.197440128536379	0.771099056783214	Aruba	#53B400
3.39427400463467	#C49A00	0.250743643745793	0.63641971032091	Azerbaijan	#C49A00
3.13841995766062	#C49A00	0.138708556788327	0.678808657758198	Bosnia and Herzegovina	#C49A00
2	#53B400	0.143051002019237	0.787105691865795	Barbados	#53B400
7.09116882454314	#A58AFF	0.445936556875176	0.554224523773249	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.129155177280327	0.812576303620698	Belgium	#C49A00
3.39427400463467	#FB61D7	0.69627852443711	0.382547386484249	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.149781792127147	0.743854828229946	Bulgaria	#C49A00
2	#00C094	0.355939379464576	0.756685902573903	Bahrain	#00C094
3.13841995766062	#FB61D7	0.659476301105152	0.347864760332002	Burundi	#FB61D7
3.13841995766062	#FB61D7	0.685422411359837	0.385593355766211	Benin	#FB61D7
2	#F8766D	0.336724059317802	0.775207600003087	Brunei Darussalam	#F8766D
3.39427400463467	#53B400	0.486646980914953	0.543425489073787	Bolivia	#53B400
8.02395219104534	#53B400	0.258234361769112	0.66126212653956	Brazil	#53B400
2	#53B400	0.239778969537747	0.709507011676874	Bahamas, The	#53B400
2	#A58AFF	0.577838330764053	0.447001084577884	Bhutan	#A58AFF
2.80498447189992	#FB61D7	0.463306337798815	0.625057845863921	Botswana	#FB61D7
3.60996894379985	#C49A00	0.160637905204421	0.731313719520689	Belarus	#C49A00
2	#53B400	0.442679722951994	0.75702641267704	Belize	#53B400
4.54558441227157	#00B6EB	0.151953014742602	0.833223528959302	Canada	#00B6EB
4.90241278938748	#FB61D7	0.722333195822568	0.357415004630899	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.580769481294917	0.388403324184278	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.534956684108822	0.503981041947995	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.125898343357144	0.83112574350248	Switzerland	#C49A00
3.8	#FB61D7	0.632553140673513	0.447850459667737	Cote d'Ivoire	#FB61D7
3.8	#53B400	0.238150552576156	0.774427010994335	Chile	#53B400
3.60996894379985	#FB61D7	0.596293722995419	0.457338758490283	Cameroon	#FB61D7
18.5365050721124	#F8766D	0.206884946913607	0.709860442922318	China	#F8766D
4.78854800926934	#53B400	0.29025989534707	0.691876493033243	Colombia	#53B400
2.80498447189992	#53B400	0.297967735631934	0.807824743554279	Costa Rica	#53B400
3.60996894379985	#53B400	0.143485246542328	0.7877684704594	Cuba	#53B400
2	#FB61D7	0.529420066439412	0.641621610200071	Cape Verde	#FB61D7
2	#C49A00	0.215027031721562	0.819630867286454	Cyprus	#C49A00
3.60996894379985	#C49A00	0.158792365981284	0.739841673442983	Czech Republic	#C49A00
6.40908153700972	#C49A00	0.110699785048961	0.801111070025257	Germany	#C49A00
2	#00C094	0.622674077773194	0.427940119474202	Djibouti	#00C094
3.13841995766062	#C49A00	0.134583233818963	0.79315278646524	Denmark	#C49A00
3.39427400463467	#53B400	0.329559024686801	0.682506764693039	Dominican Republic	#53B400
4.54558441227157	#00C094	0.464934754760406	0.67265287354994	Algeria	#00C094
3.60996894379985	#53B400	0.35170549536444	0.700467152499084	Ecuador	#53B400
2.80498447189992	#C49A00	0.174750852204877	0.710107844794128	Estonia	#C49A00
5.68890227574546	#00C094	0.425527064289902	0.593827444909095	Egypt, Arab Rep.	#00C094
2.80498447189992	#FB61D7	0.627993573181058	0.379127084108998	Eritrea	#FB61D7
5.01197609552267	#C49A00	0.0976724493562325	0.824817185788128	Spain	#C49A00
5.41525987298185	#FB61D7	0.721681829037931	0.360614127452551	Ethiopia	#FB61D7
3.13841995766062	#C49A00	0.146524958203965	0.79327439721636	Finland	#C49A00
2	#F8766D	0.322176867794255	0.649266366042357	Fiji	#F8766D
2	#F8766D	0.491532231799726	0.659031709357298	Micronesia, Fed. Sts.	#F8766D
5.77571185341255	#C49A00	0.145439346896237	0.82111565855091	France	#C49A00
2	#FB61D7	0.515415680569729	0.582551088011487	Gabon	#FB61D7
5.68890227574546	#C49A00	0.151953014742602	0.80990466743203	United Kingdom	#C49A00
2	#53B400	0.370378009857351	0.701565449595138	Grenada	#53B400
3.13841995766062	#C49A00	0.18994941051306	0.72214084858386	Georgia	#C49A00
3.8	#FB61D7	0.562965455848188	0.513274763568748	Ghana	#FB61D7
2	#FB61D7	0.614423431834466	0.45534358210472	Gambia, The	#FB61D7
3.13841995766062	#FB61D7	0.685530972490609	0.308031538836223	Guinea	#FB61D7
2	#FB61D7	0.593796816987646	0.356252101823313	Equatorial Guinea	#FB61D7
3.60996894379985	#C49A00	0.105271728510324	0.826398125552688	Greece	#C49A00
3.39427400463467	#53B400	0.55905725514037	0.598094462139021	Guatemala	#53B400
2	#F8766D	0.293191045877934	0.75077409993508	Guam	#F8766D
2	#FB61D7	0.675109103936427	0.294841332742862	Guinea-Bissau	#FB61D7
2	#53B400	0.234025229606792	0.579627109514245	Guyana	#53B400
3.13841995766062	#F8766D	0.0913759037714137	0.833276733662917	Hong Kong SAR, China	#F8766D
3.13841995766062	#53B400	0.51150747986191	0.66124122469171	Honduras	#53B400
3.13841995766062	#C49A00	0.130240788588054	0.752097756954302	Croatia	#C49A00
3.39427400463467	#53B400	0.542773085524459	0.48596668937114	Haiti	#53B400
3.60996894379985	#C49A00	0.153038626050329	0.707614824396166	Hungary	#C49A00
8.53972476485058	#F8766D	0.292213995700979	0.595245730294033	Indonesia	#F8766D
2.80498447189992	#C49A00	0.183435742666696	0.792154818238861	Ireland	#C49A00
3.13841995766062	#00C094	0.259862778730703	0.821229668630085	Israel	#00C094
16.4673425341353	#A58AFF	0.378520094665306	0.536799983339327	India	#A58AFF
4.12978872191586	#00C094	0.603458757626419	0.679857930520205	Iraq	#00C094
5.68890227574546	#00C094	0.476333673491543	0.592232443901437	Iran, Islamic Rep.	#00C094
2	#C49A00	0.204062357513516	0.843495837092974	Iceland	#C49A00
5.68890227574546	#C49A00	0.0900731702021408	0.825151615353707	Italy	#C49A00
2	#C49A00	0.111785396356688	0.802702270696943	Channel Islands	#C49A00
2.80498447189992	#53B400	0.273324358946523	0.728338436487817	Jamaica	#53B400
2.80498447189992	#00C094	0.583809192956554	0.725048865670019	Jordan	#00C094
7.45967031971712	#F8766D	0.120470286818508	0.855968539754726	Japan	#F8766D
4.41495341569977	#FB61D7	0.608669691903511	0.55218032305364	Kenya	#FB61D7
3.13841995766062	#C49A00	0.353876717979894	0.691752222046943	Kyrgyz Republic	#C49A00
3.39427400463467	#F8766D	0.57653559719478	0.490748272091742	Cambodia	#F8766D
2	#FB61D7	0.55829732722496	0.493897610512154	Comoros	#FB61D7
4.27683991532123	#F8766D	0.214484226067699	0.725543669413638	Korea, Dem. Rep.	#F8766D
5.2199378875997	#F8766D	0.125898343357144	0.73845455081302	Korea, Rep.	#F8766D
2.80498447189992	#C49A00	0.376978526608333	0.683357279883686	Kosovo	#C49A00
2.80498447189992	#00C094	0.234242351868337	0.760065541354249	Kuwait	#00C094
3.9718012070186	#C49A00	0.248572421130339	0.692360275802543	Kazakhstan	#C49A00
3.13841995766062	#F8766D	0.621154221942376	0.473779011907326	Lao PDR	#F8766D
2.80498447189992	#00C094	0.29384241266257	0.697586877865525	Lebanon	#00C094
2	#53B400	0.322176867794255	0.732436718800563	St. Lucia	#53B400
3.9718012070186	#A58AFF	0.223386238791063	0.713272004524833	Sri Lanka	#A58AFF
2.80498447189992	#FB61D7	0.660996156935971	0.286312998786971	Liberia	#FB61D7
2.80498447189992	#FB61D7	0.48729834769959	0.551976245011917	Lesotho	#FB61D7
2.80498447189992	#C49A00	0.173665240897149	0.736364366028144	Lithuania	#C49A00
2	#C49A00	0.129155177280327	0.793899552483837	Luxembourg	#C49A00
2.80498447189992	#C49A00	0.172579629589422	0.70695356593695	Latvia	#C49A00
3.13841995766062	#00C094	0.477202162537725	0.688362702393068	Libya	#00C094
4.41495341569977	#00C094	0.391221746965716	0.627065183324597	Morocco	#00C094
2.80498447189992	#C49A00	0.215244153983108	0.678447625840811	Moldova	#C49A00
2	#C49A00	0.156186898842738	0.802734573552709	Montenegro	#C49A00
3.60996894379985	#FB61D7	0.632661701804286	0.418218480022944	Madagascar	#FB61D7
2.80498447189992	#C49A00	0.183978548320559	0.738219310016322	Macedonia, FYR	#C49A00
3.39427400463467	#FB61D7	0.72005341207634	0.315690355921605	Mali	#FB61D7
5.2199378875997	#F8766D	0.327387802071346	0.519985396828993	Myanmar	#F8766D
2.80498447189992	#F8766D	0.397843975942853	0.570851753720139	Mongolia	#F8766D
2	#F8766D	0.137188700957509	0.813955065511523	Macao SAR, China	#F8766D
2.80498447189992	#FB61D7	0.597813578826237	0.499157275498098	Mauritania	#FB61D7
2	#00C094	0.175836463512604	0.79892435670668	Malta	#00C094
2	#FB61D7	0.205147968821243	0.709005747362102	Mauritius	#FB61D7
2	#A58AFF	0.618657315934603	0.57624861083469	Maldives	#A58AFF
3.60996894379985	#FB61D7	0.686073778144473	0.36137571478144	Malawi	#FB61D7
6.55367983064247	#53B400	0.3223939900558	0.730604956861816	Mexico	#53B400
4.12978872191586	#F8766D	0.334769958963892	0.719297057175636	Malaysia	#F8766D
3.8	#FB61D7	0.630381918058058	0.300327877786363	Mozambique	#FB61D7
2.80498447189992	#FB61D7	0.520735175977593	0.574577983141179	Namibia	#FB61D7
2	#F8766D	0.299596152593525	0.725841235720286	New Caledonia	#F8766D
3.39427400463467	#FB61D7	0.801474260155894	0.273163076254919	Niger	#FB61D7
6.82990683139955	#FB61D7	0.647968821243242	0.338674787883297	Nigeria	#FB61D7
3.13841995766062	#53B400	0.469385761122088	0.627252539888041	Nicaragua	#53B400
3.9718012070186	#C49A00	0.129155177280327	0.825448041559562	Netherlands	#C49A00
3.13841995766062	#C49A00	0.162809127819875	0.820138972205977	Norway	#C49A00
4.12978872191586	#A58AFF	0.517152658662093	0.468302347737354	Nepal	#A58AFF
2.80498447189992	#F8766D	0.18994941051306	0.802075975328675	New Zealand	#F8766D
2.80498447189992	#00C094	0.731126647415159	0.728140819017246	Oman	#00C094
2.80498447189992	#53B400	0.280815076969842	0.754866301710269	Panama	#53B400
4.27683991532123	#53B400	0.368858154026532	0.648933836644762	Peru	#53B400
2	#F8766D	0.314143344117072	0.707897949426118	French Polynesia	#F8766D
3.13841995766062	#F8766D	0.474596695399179	0.495610421934961	Papua New Guinea	#F8766D
5.8605699061149	#F8766D	0.42227023036672	0.642855199256747	Philippines	#F8766D
7.15441558277949	#A58AFF	0.607258397203465	0.57441874906393	Pakistan	#A58AFF
5.01197609552267	#C49A00	0.174750852204877	0.732149793434638	Poland	#C49A00
2.80498447189992	#53B400	0.194183294613197	0.786814586130303	Puerto Rico	#53B400
2.80498447189992	#00C094	0.661973207112925	0.687859537910309	West Bank and Gaza	#00C094
3.60996894379985	#C49A00	0.108528562433506	0.780072030047889	Portugal	#C49A00
2	#F8766D	0.252610895195084	0.703776485063939	Palau	#F8766D
3.13841995766062	#53B400	0.446262240267495	0.686689034430779	Paraguay	#53B400
2	#00C094	0.412933973120264	0.78261065447752	Qatar	#00C094
4.41495341569977	#C49A00	0.153038626050329	0.714246410668182	Romania	#C49A00
7.96992462263972	#C49A00	0.158466682588966	0.701177055258747	Russian Federation	#C49A00
3.39427400463467	#FB61D7	0.717556506068567	0.139071641767562	Rwanda	#FB61D7
3.9718012070186	#00C094	0.587717393664372	0.699121073497625	Saudi Arabia	#00C094
2	#F8766D	0.588477321579781	0.511120353105937	Solomon Islands	#F8766D
4.12978872191586	#FB61D7	0.599224873526283	0.446082163339733	Sudan	#FB61D7
3.39427400463467	#C49A00	0.184521353974423	0.835712749021291	Sweden	#C49A00
2.80498447189992	#F8766D	0.155752654319647	0.805256856537659	Singapore	#F8766D
2.80498447189992	#C49A00	0.111785396356688	0.768214981813683	Slovenia	#C49A00
3.13841995766062	#C49A00	0.180178908743513	0.732811051893855	Slovak Republic	#C49A00
2.80498447189992	#FB61D7	0.572627396486962	0.230915881349406	Sierra Leone	#FB61D7
3.39427400463467	#FB61D7	0.674783420544108	0.457264651938819	Senegal	#FB61D7
3.13841995766062	#FB61D7	0.66968104739779	0.321283310372336	Somalia	#FB61D7
